Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,IPROBUT_module,PRO_module,IPRO_module,IBUTBUT_module,PROBUT_module,ETHBUT_module
incumbent,11.97,0.00,102.14538906409973,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['PPP1'],['TRA1'],"['TRA1', 'FEM5']",['PPP1'],['FEM5']
p2,,,102.14538906409973,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['PPP1'],['TRA1'],"['TRA1', 'FEM5']",['PPP1'],['FEM5']
