Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,PRO_module,ETHBUT_module,PROBUT_module,ETH_module,IPRO_module,IPROBUT_module,IBUTBUT_module
incumbent,48.06,0.00,102.1453890640996,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP3'],['FEM5'],['PPP3'],"['TRA1', 'FEM5']",['TRA1'],['TRA1'],"['TRA1', 'FEM5']"
p2,,,102.1453890640996,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP3'],['FEM5'],['PPP3'],"['TRA1', 'FEM5']",['TRA1'],['TRA1'],"['TRA1', 'FEM5']"
