Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,IPRO_module,IPROBUT_module,PROBUT_module,PRO_module,IBUT_module,ETH_module
incumbent,12.82,0.00,102.14538906409959,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],['TRA1'],['PPP1'],['PPP1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,102.14538906409959,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],['TRA1'],['PPP1'],['PPP1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
