Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,PROBUT_module,PRO_module,ETH_module,ETHBUT_module,IBUTBUT_module,IPROBUT_module,IBUT_module
incumbent,13.55,0.00,102.1453890640996,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['PPP1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
p2,,,102.1453890640996,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['PPP1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
