Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,IPRO_module,IBUT_module,ETH_module,PRO_module,IPROBUT_module,ETHBUT_module,PROBUT_module
incumbent,3.70,0.00,102.14538906409955,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP1'],['TRA1'],['FEM5'],['PPP1']
p2,,,102.14538906409955,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP1'],['TRA1'],['FEM5'],['PPP1']
