Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUT_module,ETHBUT_module,PROBUT_module,ETH_module,IPRO_module,IBUTBUT_module,PRO_module
incumbent,3.54,0.00,102.14538943131157,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['FEM5'],['PPP1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']",['PPP1']
p2,,,102.14538943131157,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['FEM5'],['PPP1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']",['PPP1']
