Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,PROBUT_module,IPRO_module,IBUTBUT_module,IPROBUT_module,PRO_module,IBUT_module,ETHBUT_module
incumbent,37.16,0.00,102.14538906409962,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP1'],['TRA1'],"['TRA1', 'FEM5']",['TRA1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5']
p2,,,102.14538906409962,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP1'],['TRA1'],"['TRA1', 'FEM5']",['TRA1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5']
