Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,IPROBUT_module,PROBUT_module,PRO_module,ETHBUT_module,IBUTBUT_module,IPRO_module
incumbent,10.19,0.00,102.14538906409958,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['PPP3'],['PPP3'],['FEM5'],"['TRA1', 'FEM5']",['TRA1']
p2,,,102.14538906409958,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['PPP3'],['PPP3'],['FEM5'],"['TRA1', 'FEM5']",['TRA1']
