Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,PROBUT_module,ETH_module,IBUT_module,ETHBUT_module,IPROBUT_module,IPRO_module,PRO_module
incumbent,3.89,0.01,102.14538906409953,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],['TRA1'],['PPP3']
p2,,,102.14538906409953,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],['TRA1'],['PPP3']
