Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,PRO_module,IBUTBUT_module,IPROBUT_module,IPRO_module,ETHBUT_module,PROBUT_module,IBUT_module
incumbent,2.68,0.00,102.1453890641024,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP1'],"['TRA1', 'FEM5']",['TRA1'],['TRA1'],['FEM5'],['PPP1'],"['TRA1', 'FEM5']"
p2,,,102.1453890641024,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP1'],"['TRA1', 'FEM5']",['TRA1'],['TRA1'],['FEM5'],['PPP1'],"['TRA1', 'FEM5']"
