Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,PRO_module,IPRO_module,IBUTBUT_module,ETHBUT_module,IBUT_module,PROBUT_module,IPROBUT_module
incumbent,3.07,0.01,102.14538906409959,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP1'],['TRA1'],"['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['PPP1'],['TRA1']
p2,,,102.14538906409959,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP1'],['TRA1'],"['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['PPP1'],['TRA1']
