Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,ETH_module,PRO_module,ETHBUT_module,IPRO_module,IBUT_module,IBUTBUT_module,PROBUT_module
incumbent,3.52,0.00,102.1453890642338,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['PPP1'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP1']
p2,,,102.1453890642338,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['PPP1'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP1']
