Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,PROBUT_module,ETH_module,ETHBUT_module,IPRO_module,IBUTBUT_module,IPROBUT_module,PRO_module
incumbent,2.73,0.00,102.14538917610318,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP1'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']",['TRA1'],['PPP1']
p2,,,102.14538917610318,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP1'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']",['TRA1'],['PPP1']
