Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,PRO_module,ETH_module,ETHBUT_module,PROBUT_module,IPRO_module,IBUTBUT_module,IBUT_module
incumbent,2.37,0.00,102.1453891483954,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5'],['PPP1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,102.1453891483954,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5'],['PPP1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
