Solution name,Time(s),Gap(%),Objective value,Deletions,etylpte_module,lacUUD_module,btoh_module,ppylbte_module,ptylpte_module,etohUpdc_module,etylbte_module,z14btd_module,ac_module,ppoh_module,ppylace_module,pyr_module,ibutylace_module,ibutylpte_module,etylace_module,ibutoh_module
incumbent,26.52,0.00,0,"['ALCD2x', 'ALDD2y', 'FUM', 'LDH_D', 'PTAr', 'THD2pp']","['ALCD2x', 'ACALD']",['LDH_D'],['FUM'],['FUM'],['PTAr'],['ALCD2x'],"['ALCD2x', 'ACALD']",['FUM'],"['THD2pp', 'PTAr']",['PTAr'],['PTAr'],['FUM'],['FUM'],['PTAr'],"['ALCD2x', 'ACALD']",['FUM']
p2,,,0,"['ALCD2x', 'ALDD2y', 'FUM', 'LDH_D', 'PTAr', 'THD2pp']","['ALCD2x', 'ACALD']",['LDH_D'],['FUM'],['FUM'],['PTAr'],['ALCD2x'],"['ALCD2x', 'ACALD']",['FUM'],"['THD2pp', 'PTAr']",['PTAr'],['PTAr'],['FUM'],['FUM'],['PTAr'],"['ALCD2x', 'ACALD']",['FUM']
