Solution name,Time(s),Gap(%),Objective value,Deletions,etylpte_module,btoh_module,z14btd_module,ppoh_module,etohUpdc_module,ibutylace_module,ibutylpte_module,ppylbte_module,ptylpte_module,ibutoh_module,etylbte_module,lacUUD_module,pyr_module,ppylace_module,etylace_module,ac_module
incumbent,4911.49,0.00,0,"['ALCD2x', 'ALDD2y', 'FUM', 'LDH_D', 'PTAr', 'THD2pp']","['ALCD2x', 'ACALD']",['FUM'],['FUM'],['PTAr'],['ALCD2x'],['FUM'],['PTAr'],['FUM'],['PTAr'],['FUM'],"['ALCD2x', 'ACALD']",['LDH_D'],['FUM'],['PTAr'],"['ALCD2x', 'ACALD']","['THD2pp', 'PTAr']"
p2,,,0,"['ALCD2x', 'ALDD2y', 'FUM', 'LDH_D', 'PTAr', 'THD2pp']","['ALCD2x', 'ACALD']",['FUM'],['FUM'],['PTAr'],['ALCD2x'],['FUM'],['PTAr'],['FUM'],['PTAr'],['FUM'],"['ALCD2x', 'ACALD']",['LDH_D'],['FUM'],['PTAr'],"['ALCD2x', 'ACALD']","['THD2pp', 'PTAr']"
