Solution name,Time(s),Gap(%),Objective value,Deletions,ppoh_module,btoh_module,ppylbte_module,pyr_module,ptylpte_module,etylace_module,z14btd_module,etohUpdc_module,etylbte_module,ac_module,etylpte_module,ibutylace_module,ibutylpte_module,lacUUD_module,ibutoh_module,ppylace_module
incumbent,65.55,0.00,0,"['ALCD2x', 'ALDD2y', 'FUM', 'LDH_D', 'PTAr', 'THD2pp']",['PTAr'],['FUM'],['FUM'],['FUM'],['PTAr'],"['ALCD2x', 'ACALD']",['FUM'],['ALCD2x'],"['ALCD2x', 'ACALD']","['THD2pp', 'PTAr']","['ALCD2x', 'ACALD']",['FUM'],['PTAr'],['LDH_D'],['FUM'],['PTAr']
p2,,,0,"['ALCD2x', 'ALDD2y', 'FUM', 'LDH_D', 'PTAr', 'THD2pp']",['PTAr'],['FUM'],['FUM'],['FUM'],['PTAr'],"['ALCD2x', 'ACALD']",['FUM'],['ALCD2x'],"['ALCD2x', 'ACALD']","['THD2pp', 'PTAr']","['ALCD2x', 'ACALD']",['FUM'],['PTAr'],['LDH_D'],['FUM'],['PTAr']
