Solution name,Time(s),Gap(%),Objective value,Deletions,ppylace_module,btoh_module,etylpte_module,ibutylace_module,ppoh_module,ppylbte_module,etohUpdc_module,etylbte_module,lacUUD_module,z14btd_module,ibutoh_module,pyr_module,ac_module,etylace_module,ibutylpte_module,ptylpte_module
incumbent,345531.76,0.00,0,"['ALCD2x', 'ALDD2y', 'FUM', 'LDH_D', 'PTAr', 'THD2pp']",['PTAr'],['FUM'],"['ALCD2x', 'ACALD']",['FUM'],['PTAr'],['FUM'],['ALCD2x'],"['ALCD2x', 'ACALD']",['LDH_D'],['FUM'],['FUM'],['FUM'],"['THD2pp', 'PTAr']","['ALCD2x', 'ACALD']",['PTAr'],['PTAr']
p2,,,0,"['ALCD2x', 'ALDD2y', 'FUM', 'LDH_D', 'PTAr', 'THD2pp']",['PTAr'],['FUM'],"['ALCD2x', 'ACALD']",['FUM'],['PTAr'],['FUM'],['ALCD2x'],"['ALCD2x', 'ACALD']",['LDH_D'],['FUM'],['FUM'],['FUM'],"['THD2pp', 'PTAr']","['ALCD2x', 'ACALD']",['PTAr'],['PTAr']
