Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,IBUT_module,ETHBUT_module,ETH_module
incumbent,0.59,0.00,-3.7228017530602009,"['ANA2', 'FC1r', 'FEM3', 'TCA5', 'TCA9r', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.7228017530602009,"['ANA2', 'FC1r', 'FEM3', 'TCA5', 'TCA9r', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
