Solution name,Time(s),Gap(%),Objective value,Deletions,BUT_module,IBUT_module,PRO_module,BUTBUT_module,IBUTBUT_module,IPRO_module,IPROBUT_module,ETH_module,PROBUT_module,ETHBUT_module
incumbent,500.05,91.50,-6.1706693202134657,"['ANA3', 'FC1r', 'FEM3', 'FEM7', 'GLB2', 'OPM3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['TCA5', 'TRA2']","['TRA1', 'FEM5']","['FEM3', 'TRA2']","['FEM7', 'TRA2']","['TRA1', 'FEM5']",['TRA1'],"['FEM3', 'TRA1']","['GLB2', 'TRA1', 'FEM5']","['FEM3', 'GLB2']","['FEM7', 'TRA2', 'FEM5']"
p2,,,-6.1706693202134657,"['ANA3', 'FC1r', 'FEM3', 'FEM7', 'GLB2', 'OPM3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['TCA5', 'TRA2']","['TRA1', 'FEM5']","['FEM3', 'TRA2']","['FEM7', 'TRA2']","['TRA1', 'FEM5']",['TRA1'],"['FEM3', 'TRA1']","['GLB2', 'TRA1', 'FEM5']","['FEM3', 'GLB2']","['FEM7', 'TRA2', 'FEM5']"
