Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IPRO_module,PRO_module,ETH_module,IBUTBUT_module,PROBUT_module,BUTBUT_module,BUT_module,IPROBUT_module,IBUT_module
incumbent,14.93,0.00,-0.29491582690424195,"['FEM3', 'FEM7', 'GG11', 'GLB2', 'PPP6r', 'TRA1', 'TRA5']","['FEM3', 'FEM5']",['TRA1'],['FEM3'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM3'],['FEM3'],['FEM7'],['TRA1'],"['TRA1', 'FEM5']"
p2,,,-0.29491582690424195,"['FEM3', 'FEM7', 'GG11', 'GLB2', 'PPP6r', 'TRA1', 'TRA5']","['FEM3', 'FEM5']",['TRA1'],['FEM3'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM3'],['FEM3'],['FEM7'],['TRA1'],"['TRA1', 'FEM5']"
