Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,IBUT_module,ETH_module,ETHBUT_module
incumbent,1.44,0.00,-3.2372488576547114,"['FEM2', 'GLB2', 'PPP8r', 'TCA5', 'TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.2372488576547114,"['FEM2', 'GLB2', 'PPP8r', 'TCA5', 'TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
