Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,IPRO_module,BUTBUT_module,BUT_module,PROBUT_module,PRO_module,IBUT_module,IPROBUT_module,ETH_module
incumbent,42.87,0.01,-0.57280175299558345,"['ANA3', 'FC1r', 'GLB2', 'PPP1', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']","['PPP1', 'TRA1', 'FEM5']","['PPP1', 'TRA1']",['TRA2'],['GLB2'],['GLB2'],"['FC1r', 'TCA5']","['PPP1', 'TRA1', 'FEM5']","['PPP1', 'TRA1']","['GLB2', 'TRA1', 'FEM5']"
p2,,,-0.57280175299558345,"['ANA3', 'FC1r', 'GLB2', 'PPP1', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']","['PPP1', 'TRA1', 'FEM5']","['PPP1', 'TRA1']",['TRA2'],['GLB2'],['GLB2'],"['FC1r', 'TCA5']","['PPP1', 'TRA1', 'FEM5']","['PPP1', 'TRA1']","['GLB2', 'TRA1', 'FEM5']"
