Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,ETHBUT_module,IBUT_module,ETH_module,IBUTBUT_module,BUTBUT_module,IPROBUT_module
incumbent,0.80,0.00,-2.3499999999999996,"['TRA1', 'TRA2', 'TRA4']",['TRA4'],"['TRA2', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA2'],['TRA4']
p2,,,-2.3499999999999996,"['TRA1', 'TRA2', 'TRA4']",['TRA4'],"['TRA2', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA2'],['TRA4']
