Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,IBUTBUT_module,ETH_module
incumbent,4.05,0.00,-39.774320855276613,"['ANA2', 'FC1r', 'FEM3', 'GG12', 'GG4', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-39.774320855276613,"['ANA2', 'FC1r', 'FEM3', 'GG12', 'GG4', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
