Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,PRO_module,BUT_module,ETHBUT_module,IPROBUT_module,ETH_module,BUTBUT_module,IBUT_module,IBUTBUT_module,PROBUT_module
incumbent,127.25,0.00,0,"['FEM7', 'GG11', 'PPP4r', 'TCA5', 'TRA1', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']",['PPP4r'],"['TRA4', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['GG11', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']",['TRA1']
p2,,,0,"['FEM7', 'GG11', 'PPP4r', 'TCA5', 'TRA1', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']",['PPP4r'],"['TRA4', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['GG11', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']",['TRA1']
