Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUTBUT_module,ETH_module,IBUT_module,IPRO_module,ETHBUT_module
incumbent,0.67,0.00,-3.2559161881110001,['TRA1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5']
p2,,,-3.2559161881110001,['TRA1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5']
