Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUTBUT_module,ETHBUT_module,IBUT_module
incumbent,2.34,0.00,-39.774320855276471,"['ANA3', 'FC1r', 'GG4', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-39.774320855276471,"['ANA3', 'FC1r', 'GG4', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
