Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,ETHBUT_module,IBUT_module,ETH_module,IBUTBUT_module,IPRO_module
incumbent,1.26,0.00,-34.090139292258833,"['TRA1', 'TRA4']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
p2,,,-34.090139292258833,"['TRA1', 'TRA4']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
