Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,IBUTBUT_module,ETH_module
incumbent,1.73,0.00,-3.2372488885300386,"['FEM2', 'FEM3', 'OPM3', 'OPM4r', 'PPP8r', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.2372488885300386,"['FEM2', 'FEM3', 'OPM3', 'OPM4r', 'PPP8r', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
