Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,IPROBUT_module,PROBUT_module,ETHBUT_module,IBUTBUT_module,BUT_module,ETH_module,BUTBUT_module,IBUT_module,IPRO_module
incumbent,1.18,0.00,-1.0728017530698466,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA5'],['TRA1'],['TRA5'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TRA5'],"['TRA1', 'FEM5']",['TRA2'],"['TRA1', 'FEM5']",['TRA1']
p2,,,-1.0728017530698466,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA5'],['TRA1'],['TRA5'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TRA5'],"['TRA1', 'FEM5']",['TRA2'],"['TRA1', 'FEM5']",['TRA1']
