Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,BUTBUT_module,ETH_module,ETHBUT_module,BUT_module,IPRO_module,PROBUT_module,IPROBUT_module,IBUT_module,IBUTBUT_module
incumbent,1.37,0.00,-1.072801753069847,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA5'],['TRA2'],"['TRA1', 'FEM5']","['TRA2', 'FEM5']",['TRA5'],['TRA1'],['TRA5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,-1.072801753069847,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA5'],['TRA2'],"['TRA1', 'FEM5']","['TRA2', 'FEM5']",['TRA5'],['TRA1'],['TRA5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
