Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,IBUT_module,ETH_module
incumbent,0.39,0.00,-4.892957338079297,['TRA2'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-4.892957338079297,['TRA2'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
