Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUT_module,IPRO_module,IPROBUT_module,BUT_module,PROBUT_module,ETHBUT_module,BUTBUT_module,IBUTBUT_module
incumbent,16.10,0.00,-0.36111862163890185,"['ANA3', 'PPP8r', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA1'],['TRA4'],['TCA5'],"['TRA2', 'FEM5']",['TCA5'],"['TRA1', 'FEM5']"
p2,,,-0.36111862163890185,"['ANA3', 'PPP8r', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA1'],['TRA4'],['TCA5'],"['TRA2', 'FEM5']",['TCA5'],"['TRA1', 'FEM5']"
