Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,ETH_module,IBUT_module,IBUTBUT_module
incumbent,0.51,0.00,-3.7228017530698465,"['FC1r', 'FEM3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.7228017530698465,"['FC1r', 'FEM3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
