Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,IPRO_module,IBUT_module,ETH_module,IPROBUT_module,ETHBUT_module
incumbent,0.61,0.00,-2.7138888888888744,"['TRA1', 'TRA4']",['FEM5'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['TRA1'],['FEM5']
p2,,,-2.7138888888888744,"['TRA1', 'TRA4']",['FEM5'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['TRA1'],['FEM5']
