Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,BUTBUT_module,PROBUT_module,ETHBUT_module,IBUT_module,IBUTBUT_module,BUT_module,IPRO_module,IPROBUT_module
incumbent,11.92,0.00,-0.75886600371028412,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA5'],['TRA5'],"['TRA5', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA4'],['TRA1'],['TRA1']
p2,,,-0.75886600371028412,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA5'],['TRA5'],"['TRA5', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA4'],['TRA1'],['TRA1']
