Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IPRO_module,PRO_module,IBUTBUT_module,ETH_module,PROBUT_module,IBUT_module,BUTBUT_module,IPROBUT_module,BUT_module
incumbent,3.86,0.00,-0.57280175306984649,"['FC1r', 'GLB2', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']",['TRA1'],"['FC1r', 'TCA5']","['TRA1', 'FEM5']","['GLB2', 'TRA1', 'FEM5']",['GLB2'],"['TRA1', 'FEM5']",['TRA2'],['TRA1'],['GLB2']
p2,,,-0.57280175306984649,"['FC1r', 'GLB2', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']",['TRA1'],"['FC1r', 'TCA5']","['TRA1', 'FEM5']","['GLB2', 'TRA1', 'FEM5']",['GLB2'],"['TRA1', 'FEM5']",['TRA2'],['TRA1'],['GLB2']
