Solution name,Time(s),Gap(%),Objective value,Deletions,BUTBUT_module,BUT_module,PROBUT_module,IPRO_module,PRO_module,IBUT_module,ETHBUT_module,ETH_module,IPROBUT_module,IBUTBUT_module
incumbent,8.02,0.00,-6.1413829695821081,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['FC1r', 'TRA2']",['TRA5'],"['FC1r', 'TRA5']",['TRA1'],['TRA5'],"['TRA1', 'FEM5']","['FC1r', 'TRA2', 'FEM5']","['TRA1', 'TRA5', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
p2,,,-6.1413829695821081,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['FC1r', 'TRA2']",['TRA5'],"['FC1r', 'TRA5']",['TRA1'],['TRA5'],"['TRA1', 'FEM5']","['FC1r', 'TRA2', 'FEM5']","['TRA1', 'TRA5', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
