Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IPROBUT_module,PROBUT_module,PRO_module,BUTBUT_module,IBUTBUT_module,BUT_module,IPRO_module,ETHBUT_module,ETH_module
incumbent,41.56,0.01,-10.500801228759375,"['ANA2', 'FC1r', 'GG4', 'OPM3', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']","['TRA1', 'FEM5']",['TRA1'],['TCA9r'],['ANA2'],['TRA2'],"['TRA1', 'FEM5']",['TCA9r'],['TRA1'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']"
p2,,,-10.500801228759375,"['ANA2', 'FC1r', 'GG4', 'OPM3', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']","['TRA1', 'FEM5']",['TRA1'],['TCA9r'],['ANA2'],['TRA2'],"['TRA1', 'FEM5']",['TCA9r'],['TRA1'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']"
