Solution name,Time(s),Gap(%),Objective value,Deletions,BUT_module,ETHBUT_module,PROBUT_module,BUTBUT_module,ETH_module,IBUT_module,IBUTBUT_module,IPROBUT_module,IPRO_module,PRO_module
incumbent,101.92,0.01,-0.57280175306468983,"['ANA2', 'ANA3', 'FC1r', 'PPP8r', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['ANA2'],"['TRA2', 'FEM5']",['ANA2'],['TRA2'],"['TCA9r', 'TRA1', 'FEM5']","['PPP8r', 'TRA1', 'FEM5']","['PPP8r', 'TRA1', 'FEM5']","['PPP8r', 'TRA1']","['PPP8r', 'TRA1']","['FC1r', 'TCA5']"
p2,,,-0.57280175306468983,"['ANA2', 'ANA3', 'FC1r', 'PPP8r', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['ANA2'],"['TRA2', 'FEM5']",['ANA2'],['TRA2'],"['TCA9r', 'TRA1', 'FEM5']","['PPP8r', 'TRA1', 'FEM5']","['PPP8r', 'TRA1', 'FEM5']","['PPP8r', 'TRA1']","['PPP8r', 'TRA1']","['FC1r', 'TCA5']"
