Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,IPRO_module,IBUT_module,PROBUT_module,BUTBUT_module,IPROBUT_module,ETHBUT_module,BUT_module,ETH_module,IBUTBUT_module
incumbent,3.48,0.00,-2.8688276392193721,"['TRA1', 'TRA2']",['TRA2'],['TRA1'],"['TRA1', 'FEM5']",['TRA2'],['TRA2'],['TRA1'],"['TRA2', 'FEM5']",['TRA2'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,-2.8688276392193721,"['TRA1', 'TRA2']",['TRA2'],['TRA1'],"['TRA1', 'FEM5']",['TRA2'],['TRA2'],['TRA1'],"['TRA2', 'FEM5']",['TRA2'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
