Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,PROBUT_module,IBUT_module,ETH_module,IPRO_module,BUT_module,BUTBUT_module,ETHBUT_module,IPROBUT_module,PRO_module
incumbent,500.03,80.19,-6.1413829695812083,"['FC1r', 'GG12', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['FC1r', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'TRA5', 'FEM5']",['TRA1'],['TRA5'],"['FC1r', 'TRA2']","['FC1r', 'TRA2', 'FEM5']",['TRA1'],['TRA5']
p2,,,-6.1413829695812083,"['FC1r', 'GG12', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['FC1r', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'TRA5', 'FEM5']",['TRA1'],['TRA5'],"['FC1r', 'TRA2']","['FC1r', 'TRA2', 'FEM5']",['TRA1'],['TRA5']
