Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,ETHBUT_module,IPROBUT_module,ETH_module,IBUTBUT_module,IBUT_module
incumbent,0.57,0.00,-3.2559161881109988,['TRA1'],['TRA1'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,-3.2559161881109988,['TRA1'],['TRA1'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']"
