Solution name,Time(s),Gap(%),Objective value,Deletions,BUT_module,IPRO_module,IBUT_module,IBUTBUT_module,ETH_module,BUTBUT_module,IPROBUT_module,PRO_module,PROBUT_module,ETHBUT_module
incumbent,44.80,0.01,-10.500801228759361,"['ANA2', 'FC1r', 'GG12', 'GG4', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['TCA9r'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA2'],['TRA1'],['ANA2'],['TCA9r'],"['TRA2', 'FEM5']"
p2,,,-10.500801228759361,"['ANA2', 'FC1r', 'GG12', 'GG4', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['TCA9r'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA2'],['TRA1'],['ANA2'],['TCA9r'],"['TRA2', 'FEM5']"
