Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,IBUT_module,IPRO_module,IPROBUT_module,ETH_module,ETHBUT_module
incumbent,1.76,0.00,-34.090139292258826,"['TRA1', 'TRA4']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA1'],"['TRA1', 'FEM5']",['FEM5']
p2,,,-34.090139292258826,"['TRA1', 'TRA4']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA1'],"['TRA1', 'FEM5']",['FEM5']
