Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,IBUTBUT_module,ETHBUT_module
incumbent,1.00,0.00,-58.199445763681901,"['TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-58.199445763681901,"['TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
