Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,ETHBUT_module,IBUTBUT_module
incumbent,0.37,0.00,-5.4999999871481489,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-5.4999999871481489,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
