Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,ETH_module,IBUT_module
incumbent,1.47,0.00,-3.2372488865629596,"['GG4', 'GLB2', 'OPM4r', 'PPP8r', 'TCA5', 'TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.2372488865629596,"['GG4', 'GLB2', 'OPM4r', 'PPP8r', 'TCA5', 'TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
