Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETH_module,IBUT_module,ETHBUT_module
incumbent,0.64,0.00,-4.1535918800950267,"['GG11', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-4.1535918800950267,"['GG11', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
