Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,PRO_module,BUTBUT_module,ETHBUT_module,IPROBUT_module,ETH_module,PROBUT_module,BUT_module,IPRO_module
incumbent,3.65,0.00,-1.0728017530698413,"['FC1r', 'GG4', 'TCA9r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA5'],['TRA2'],"['TRA2', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']",['TRA5'],['TRA5'],['TRA1']
p2,,,-1.0728017530698413,"['FC1r', 'GG4', 'TCA9r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA5'],['TRA2'],"['TRA2', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']",['TRA5'],['TRA5'],['TRA1']
