Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,PROBUT_module,IBUTBUT_module,BUT_module,ETH_module,ETHBUT_module,BUTBUT_module,PRO_module,IPROBUT_module,IBUT_module
incumbent,2.01,0.00,-0.67280175306984691,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA5'],"['TRA1', 'FEM5']",['TRA5'],"['TRA1', 'TRA5', 'FEM5']","['TRA2', 'FEM5']",['TRA2'],['TRA5'],['TRA1'],"['TRA1', 'FEM5']"
p2,,,-0.67280175306984691,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA5'],"['TRA1', 'FEM5']",['TRA5'],"['TRA1', 'TRA5', 'FEM5']","['TRA2', 'FEM5']",['TRA2'],['TRA5'],['TRA1'],"['TRA1', 'FEM5']"
