Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUT_module,ETHBUT_module,IBUTBUT_module
incumbent,1.16,0.00,-60.028943697881147,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-60.028943697881147,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
