Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETHBUT_module,ETH_module
incumbent,0.71,0.00,-3.7228017530698212,"['ANA3', 'FC1r', 'FEM7', 'OPM3', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.7228017530698212,"['ANA3', 'FC1r', 'FEM7', 'OPM3', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
