Solution name,Time(s),Gap(%),Objective value,Deletions,BUTBUT_module,BUT_module,IBUT_module,PROBUT_module,IBUTBUT_module,PRO_module,ETHBUT_module,IPROBUT_module,ETH_module,IPRO_module
incumbent,147.11,0.00,0,"['FEM7', 'GG11', 'GG12', 'GG4', 'OPM4r', 'PPP6r', 'TCA5', 'TRA1', 'TRA4', 'TRA5']","['GG11', 'OPM4r']",['OPM4r'],"['TRA1', 'TRA4', 'FEM5']","['OPM4r', 'TRA4']","['OPM4r', 'TRA1', 'FEM5']","['OPM4r', 'PPP6r']","['GG11', 'TRA4', 'FEM5']","['OPM4r', 'TRA1']","['OPM4r', 'TRA1', 'FEM5']","['OPM4r', 'TRA1']"
p2,,,0,"['FEM7', 'GG11', 'GG12', 'GG4', 'OPM4r', 'PPP6r', 'TCA5', 'TRA1', 'TRA4', 'TRA5']","['GG11', 'OPM4r']",['OPM4r'],"['TRA1', 'TRA4', 'FEM5']","['OPM4r', 'TRA4']","['OPM4r', 'TRA1', 'FEM5']","['OPM4r', 'PPP6r']","['GG11', 'TRA4', 'FEM5']","['OPM4r', 'TRA1']","['OPM4r', 'TRA1', 'FEM5']","['OPM4r', 'TRA1']"
