Solution name,Time(s),Gap(%),Objective value,Deletions,BUT_module,PROBUT_module,IBUTBUT_module,IPRO_module,ETHBUT_module,ETH_module,IBUT_module,PRO_module,IPROBUT_module,BUTBUT_module
incumbent,1.68,0.00,-1.0728017530698466,"['ANA2', 'FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA5'],['TRA5'],"['TRA1', 'FEM5']",['TRA1'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA5'],['TRA1'],['TRA2']
p2,,,-1.0728017530698466,"['ANA2', 'FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA5'],['TRA5'],"['TRA1', 'FEM5']",['TRA1'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA5'],['TRA1'],['TRA2']
