Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUTBUT_module,ETHBUT_module,IBUT_module
incumbent,1.66,0.00,-3.2372488778616137,"['FEM2', 'FEM3', 'GG4', 'OPM3', 'PPP8r', 'TCA5', 'TCA9r', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.2372488778616137,"['FEM2', 'FEM3', 'GG4', 'OPM3', 'PPP8r', 'TCA5', 'TCA9r', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
