Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IBUTBUT_module,PRO_module,PROBUT_module,BUT_module,IPROBUT_module,BUTBUT_module,ETHBUT_module,IBUT_module,ETH_module
incumbent,1.80,0.00,-0.67280175306984691,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']","['FC1r', 'TRA5']",['TRA5'],['TRA5'],['TRA1'],['TRA2'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'TRA5', 'FEM5']"
p2,,,-0.67280175306984691,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']","['FC1r', 'TRA5']",['TRA5'],['TRA5'],['TRA1'],['TRA2'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'TRA5', 'FEM5']"
