Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IPROBUT_module,IPRO_module,IBUTBUT_module,ETH_module,ETHBUT_module,BUTBUT_module
incumbent,2.08,0.00,-28.466301686542518,"['TRA1', 'TRA2', 'TRA4']","['TRA1', 'TRA2', 'FEM5']",['TRA1'],['TRA1'],"['TRA1', 'TRA2', 'FEM5']","['TRA1', 'FEM5']","['TRA2', 'FEM5']",['TRA2']
p2,,,-28.466301686542518,"['TRA1', 'TRA2', 'TRA4']","['TRA1', 'TRA2', 'FEM5']",['TRA1'],['TRA1'],"['TRA1', 'TRA2', 'FEM5']","['TRA1', 'FEM5']","['TRA2', 'FEM5']",['TRA2']
