Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,BUTBUT_module,IPROBUT_module,IBUT_module,PROBUT_module,ETHBUT_module,IPRO_module,IBUTBUT_module,ETH_module,BUT_module
incumbent,42.60,0.01,-10.555153560159901,"['ANA2', 'FC1r', 'GG4', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['ANA2'],['TRA2'],['TRA1'],"['TRA1', 'FEM5']",['TCA9r'],"['TRA2', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TCA9r']
p2,,,-10.555153560159901,"['ANA2', 'FC1r', 'GG4', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['ANA2'],['TRA2'],['TRA1'],"['TRA1', 'FEM5']",['TCA9r'],"['TRA2', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TCA9r']
