Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IPROBUT_module,IBUT_module,ETH_module,IBUTBUT_module,IPRO_module
incumbent,0.62,0.00,-2.7138888888888744,"['TRA1', 'TRA4']",['FEM5'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA1']
p2,,,-2.7138888888888744,"['TRA1', 'TRA4']",['FEM5'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA1']
