Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,IBUTBUT_module,ETH_module
incumbent,0.91,0.00,-3.5226703228789509,"['TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.5226703228789509,"['TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
