Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,ETH_module,IBUTBUT_module
incumbent,0.59,0.00,-3.7228017529940005,"['FC1r', 'FEM3', 'GG4', 'TCA9r', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.7228017529940005,"['FC1r', 'FEM3', 'GG4', 'TCA9r', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
