Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,BUTBUT_module,PROBUT_module,IPROBUT_module,IBUTBUT_module,IBUT_module,IPRO_module,BUT_module,ETH_module
incumbent,4.30,0.00,-28.144688535352358,"['GLB2', 'TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']",['TRA2'],['GLB2'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['GLB2'],"['TRA1', 'FEM5']"
p2,,,-28.144688535352358,"['GLB2', 'TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']",['TRA2'],['GLB2'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['GLB2'],"['TRA1', 'FEM5']"
